department,salary,averageMonthlyHours,projectCount,satisfaction,evaluation,yearsAtCompany,workAccident,turnover
support,low,280,5,87.0,90.0,6,0,1
support,low,277,2,38.0,50.0,3,0,1
support,low,285,5,77.0,99.0,5,0,1
support,low,281,4,78.0,87.0,5,0,1
support,low,277,2,44.0,50.0,3,0,1
support,low,275,2,38.0,52.0,3,0,1
technical,low,286,2,43.0,46.0,3,0,1
technical,low,266,4,39.0,50.0,3,0,1
technical,low,263,5,88.0,100.0,5,0,1
management,low,267,2,45.0,46.0,3,0,1
IT,low,268,2,40.0,53.0,3,0,1
IT,low,280,2,36.0,51.0,3,0,1
IT,low,276,2,36.0,48.0,3,0,1
IT,low,275,5,90.0,98.0,5,0,1
IT,low,275,2,43.0,53.0,3,0,1
product_mng,low,285,5,89.0,87.0,5,0,1
product_mng,low,280,6,10.0,84.0,4,0,1
product_mng,low,260,2,37.0,50.0,3,0,1
product_mng,low,263,2,37.0,51.0,3,0,1
IT,low,267,5,87.0,90.0,5,0,1
accounting,low,266,2,40.0,56.0,3,0,1
accounting,low,282,4,90.0,97.0,5,0,1
hr,low,266,2,37.0,46.0,3,0,1
hr,low,289,2,44.0,54.0,3,0,1
hr,low,281,5,85.0,95.0,5,0,1
marketing,low,252,5,78.0,98.0,6,0,1
marketing,low,282,2,42.0,47.0,3,0,1
sales,low,279,5,92.0,99.0,6,0,1
accounting,low,282,6,11.0,83.0,4,0,1
support,low,289,2,42.0,56.0,3,0,1
technical,low,275,4,48.0,57.0,4,0,1
management,low,274,4,83.0,85.0,5,0,1
marketing,low,300,2,40.0,53.0,3,0,1
marketing,low,279,2,43.0,45.0,3,0,1
marketing,low,279,2,43.0,53.0,3,0,1
sales,low,267,7,10.0,97.0,4,0,1
sales,low,280,7,10.0,87.0,4,0,1
sales,low,277,2,37.0,46.0,3,0,1
sales,low,289,2,38.0,53.0,3,0,1
sales,low,274,2,40.0,50.0,3,0,1
sales,low,292,5,89.0,86.0,5,0,1
sales,low,280,2,45.0,46.0,3,0,1
sales,low,277,2,37.0,48.0,3,0,1
sales,low,276,2,46.0,49.0,3,0,1
sales,low,284,4,87.0,91.0,5,0,1
sales,low,279,6,11.0,84.0,4,0,1
sales,low,273,5,79.0,87.0,5,0,1
sales,low,261,5,79.0,92.0,6,0,1
sales,low,271,7,19.0,59.0,3,0,1
sales,low,269,4,87.0,98.0,5,0,1
sales,low,288,2,60.0,92.0,5,0,1
sales,medium,263,2,44.0,45.0,3,0,1
sales,medium,287,6,11.0,81.0,4,1,1
sales,medium,285,2,42.0,54.0,3,0,1
accounting,medium,279,5,88.0,88.0,5,1,1
accounting,medium,291,6,11.0,84.0,4,0,1
accounting,medium,272,2,46.0,46.0,3,0,1
hr,medium,272,5,82.0,97.0,5,0,1
hr,medium,266,2,44.0,56.0,3,0,1
hr,medium,278,6,11.0,78.0,4,0,1
hr,medium,281,2,42.0,50.0,3,0,1
technical,medium,269,4,84.0,93.0,5,0,1
technical,medium,284,6,11.0,95.0,4,0,1
technical,high,275,2,45.0,53.0,3,0,1
technical,low,272,2,38.0,56.0,3,0,1
technical,medium,278,6,38.0,86.0,6,0,1
technical,medium,273,2,44.0,51.0,3,0,1
technical,medium,272,6,11.0,84.0,4,0,1
technical,medium,278,5,81.0,93.0,5,0,1
technical,low,262,6,9.0,96.0,4,0,1
technical,low,269,6,11.0,90.0,4,0,1
technical,low,268,5,81.0,95.0,6,0,1
support,low,282,6,10.0,97.0,4,1,1
support,low,274,5,74.0,89.0,6,0,1
support,low,265,6,9.0,78.0,4,0,1
support,low,271,4,82.0,81.0,4,1,1
support,low,268,6,10.0,98.0,4,0,1
support,low,271,3,27.0,56.0,3,0,1
support,low,280,5,83.0,92.0,6,0,1
support,low,276,6,10.0,93.0,4,1,1
support,low,272,2,38.0,47.0,3,0,1
support,low,266,2,40.0,56.0,3,0,1
support,low,284,6,11.0,83.0,4,0,1
technical,low,274,6,11.0,79.0,4,0,1
technical,low,258,5,82.0,91.0,5,0,1
technical,low,290,2,36.0,48.0,3,0,1
management,low,277,2,40.0,46.0,3,0,1
IT,low,271,5,87.0,84.0,5,0,1
IT,low,275,2,41.0,49.0,3,0,1
IT,low,280,6,11.0,91.0,4,1,1
IT,medium,281,6,10.0,93.0,4,0,1
IT,medium,272,2,38.0,51.0,3,0,1
product_mng,medium,269,2,39.0,55.0,3,0,1
product_mng,medium,286,2,40.0,52.0,3,0,1
product_mng,medium,263,2,45.0,48.0,3,0,1
product_mng,medium,284,5,74.0,84.0,5,0,1
IT,medium,266,2,45.0,55.0,3,0,1
RandD,medium,289,3,12.0,100.0,4,0,1
RandD,medium,279,7,10.0,77.0,5,0,1
RandD,medium,283,2,37.0,55.0,3,0,1
RandD,medium,263,5,89.0,87.0,5,0,1
RandD,medium,267,2,45.0,47.0,3,0,1
marketing,high,278,2,37.0,46.0,3,0,1
sales,low,258,5,11.0,81.0,4,0,1
accounting,medium,264,2,41.0,48.0,3,0,1
support,medium,269,6,10.0,94.0,4,0,1
technical,medium,279,7,10.0,93.0,4,0,1
management,medium,281,7,11.0,95.0,4,0,1
marketing,low,283,2,40.0,54.0,3,0,1
marketing,low,291,2,41.0,49.0,3,0,1
marketing,low,284,6,10.0,81.0,4,0,1
sales,low,297,4,73.0,86.0,6,0,1
sales,low,277,2,43.0,47.0,3,0,1
sales,low,295,2,37.0,46.0,3,0,1
sales,low,272,6,11.0,94.0,4,0,1
sales,low,269,2,40.0,46.0,3,0,1
sales,low,273,2,41.0,54.0,3,1,1
sales,low,267,5,82.0,84.0,5,0,1
sales,low,276,2,61.0,47.0,3,0,1
sales,low,274,7,11.0,91.0,4,0,1
sales,low,278,2,37.0,45.0,3,0,1
sales,low,288,2,41.0,52.0,3,0,1
sales,low,277,2,37.0,52.0,3,0,1
sales,low,273,5,88.0,99.0,6,0,1
sales,low,256,6,10.0,85.0,4,0,1
sales,low,295,2,44.0,48.0,3,0,1
sales,low,285,2,38.0,57.0,3,0,1
sales,low,278,7,11.0,85.0,4,0,1
sales,low,277,6,9.0,98.0,4,0,1
sales,medium,268,2,45.0,52.0,3,0,1
accounting,medium,278,6,10.0,81.0,4,0,1
accounting,medium,284,2,45.0,47.0,3,0,1
accounting,medium,278,5,77.0,87.0,5,0,1
hr,medium,274,2,44.0,51.0,3,0,1
hr,medium,278,2,39.0,50.0,3,0,1
hr,medium,276,6,10.0,91.0,4,0,1
hr,medium,270,7,9.0,89.0,5,0,1
technical,medium,273,2,37.0,47.0,3,0,1
technical,medium,272,5,90.0,100.0,5,0,1
technical,medium,281,2,41.0,56.0,3,0,1
technical,medium,283,2,37.0,52.0,3,0,1
technical,high,277,6,10.0,86.0,4,0,1
technical,low,286,4,81.0,100.0,5,0,1
technical,medium,289,6,11.0,80.0,4,0,1
technical,medium,272,7,11.0,84.0,4,0,1
technical,medium,269,2,40.0,46.0,3,0,1
technical,medium,274,6,9.0,80.0,5,0,1
technical,low,272,3,48.0,93.0,6,0,1
support,low,281,4,91.0,91.0,6,0,1
support,low,272,2,43.0,57.0,3,0,1
support,low,297,6,33.0,88.0,5,0,1
support,low,272,2,41.0,57.0,3,0,1
support,low,263,2,41.0,55.0,3,0,1
support,low,297,2,37.0,54.0,3,0,1
support,low,284,6,31.0,62.0,5,0,1
support,low,270,6,9.0,91.0,4,0,1
support,low,270,6,10.0,87.0,4,0,1
support,low,277,4,76.0,90.0,5,0,1
support,low,267,2,41.0,54.0,3,0,1
technical,low,273,5,72.0,96.0,5,0,1
technical,low,286,2,40.0,50.0,3,1,1
technical,low,274,4,91.0,87.0,5,0,1
management,low,281,6,10.0,83.0,4,0,1
IT,low,275,2,40.0,56.0,3,0,1
IT,low,281,5,82.0,86.0,5,0,1
IT,low,261,6,10.0,82.0,4,0,1
IT,low,262,2,37.0,45.0,3,0,1
IT,low,252,2,36.0,51.0,3,0,1
product_mng,medium,289,2,39.0,48.0,3,0,1
product_mng,medium,264,2,36.0,57.0,3,0,1
product_mng,medium,282,5,86.0,84.0,5,0,1
product_mng,medium,282,5,73.0,99.0,5,0,1
IT,medium,287,4,56.0,71.0,2,0,1
accounting,medium,290,2,44.0,56.0,3,0,1
accounting,medium,275,4,31.0,56.0,2,0,1
hr,medium,279,4,77.0,93.0,5,0,1
hr,medium,284,2,44.0,45.0,3,0,1
hr,medium,264,2,38.0,46.0,3,0,1
marketing,medium,292,2,45.0,48.0,3,0,1
sales,medium,277,2,38.0,51.0,3,0,1
accounting,high,271,2,36.0,48.0,3,0,1
support,low,245,5,75.0,90.0,5,0,1
technical,medium,271,6,10.0,93.0,4,0,1
management,medium,264,6,10.0,97.0,4,0,1
marketing,medium,255,2,45.0,50.0,3,0,1
marketing,medium,280,2,42.0,57.0,3,1,1
marketing,low,260,4,78.0,100.0,5,0,1
sales,low,262,2,45.0,55.0,3,0,1
sales,low,280,4,84.0,100.0,5,0,1
sales,low,274,6,11.0,93.0,4,0,1
sales,low,260,2,42.0,56.0,3,0,1
sales,low,266,2,45.0,46.0,3,0,1
sales,low,284,2,46.0,57.0,3,0,1
sales,low,269,6,9.0,79.0,5,0,1
sales,low,285,4,87.0,83.0,6,0,1
sales,low,264,6,10.0,87.0,4,0,1
sales,low,261,5,91.0,100.0,6,0,1
sales,low,271,4,76.0,92.0,5,0,1
sales,low,272,5,74.0,100.0,5,0,1
sales,low,269,5,92.0,93.0,5,0,1
sales,low,267,5,76.0,87.0,5,0,1
sales,low,279,4,47.0,50.0,4,0,1
sales,low,279,5,73.0,99.0,5,0,1
sales,low,274,6,9.0,94.0,4,0,1
sales,low,279,4,91.0,92.0,5,0,1
sales,low,290,4,82.0,98.0,5,0,1
accounting,low,271,6,28.0,45.0,4,0,1
accounting,medium,271,4,84.0,99.0,6,0,1
accounting,medium,242,2,45.0,53.0,3,0,1
hr,medium,280,2,45.0,54.0,3,0,1
hr,medium,275,5,91.0,97.0,5,0,1
hr,medium,276,2,42.0,48.0,3,0,1
hr,medium,278,4,82.0,100.0,6,0,1
technical,medium,260,6,11.0,90.0,4,0,1
technical,medium,283,3,42.0,53.0,4,0,1
technical,medium,263,4,82.0,85.0,5,0,1
technical,medium,288,6,9.0,96.0,4,0,1
technical,medium,276,6,10.0,94.0,4,0,1
technical,medium,277,5,86.0,100.0,5,0,1
technical,high,269,2,40.0,46.0,3,0,1
technical,low,270,2,45.0,46.0,3,0,1
technical,medium,272,2,42.0,51.0,3,0,1
technical,medium,269,4,74.0,92.0,5,0,1
technical,medium,275,3,55.0,60.0,4,0,1
support,medium,289,2,37.0,45.0,3,0,1
support,low,278,2,41.0,52.0,3,1,1
support,low,273,5,89.0,65.0,6,0,1
support,low,291,2,41.0,57.0,3,0,1
support,low,270,2,44.0,51.0,3,0,1
support,low,271,4,87.0,84.0,6,0,1
support,low,257,6,10.0,84.0,4,0,1
support,low,251,2,41.0,47.0,3,0,1
support,low,279,6,11.0,85.0,4,0,1
support,low,282,2,43.0,53.0,3,0,1
support,low,261,4,77.0,90.0,5,0,1
technical,low,287,2,41.0,52.0,3,0,1
technical,low,261,2,41.0,48.0,3,0,1
technical,low,277,2,36.0,78.0,4,0,1
management,low,265,5,77.0,100.0,5,0,1
IT,low,279,5,81.0,98.0,5,0,1
IT,low,266,2,39.0,54.0,3,0,1
IT,low,268,6,9.0,94.0,5,0,1
IT,low,265,2,44.0,46.0,3,0,1
IT,low,283,5,10.0,84.0,4,0,1
product_mng,low,273,2,36.0,48.0,3,0,1
product_mng,low,278,5,81.0,92.0,5,0,1
product_mng,medium,278,4,81.0,90.0,5,0,1
product_mng,medium,272,5,85.0,98.0,5,0,1
IT,medium,289,6,10.0,87.0,4,0,1
RandD,medium,276,2,37.0,54.0,3,0,1
RandD,medium,281,7,9.0,97.0,4,1,1
RandD,medium,291,2,44.0,53.0,3,0,1
RandD,medium,279,5,86.0,93.0,5,0,1
RandD,medium,270,4,77.0,100.0,5,0,1
marketing,medium,262,2,41.0,48.0,3,0,1
sales,medium,286,2,40.0,48.0,3,0,1
accounting,medium,274,2,43.0,49.0,3,0,1
support,medium,278,2,43.0,50.0,3,0,1
technical,high,294,3,80.0,53.0,5,0,1
management,low,273,4,80.0,85.0,5,0,1
marketing,medium,276,5,82.0,98.0,5,0,1
marketing,medium,271,2,37.0,54.0,3,0,1
marketing,medium,284,2,37.0,48.0,3,0,1
sales,medium,276,6,9.0,95.0,4,0,1
sales,low,279,5,90.0,92.0,5,0,1
sales,low,280,2,41.0,52.0,3,0,1
sales,low,267,6,10.0,85.0,4,0,1
sales,low,284,2,44.0,53.0,3,0,1
sales,low,275,5,89.0,85.0,5,0,1
sales,low,277,2,42.0,56.0,3,0,1
sales,low,276,5,87.0,100.0,5,0,1
sales,low,279,2,45.0,57.0,3,0,1
sales,low,285,5,11.0,87.0,4,0,1
sales,low,277,6,9.0,79.0,4,0,1
sales,low,282,5,76.0,83.0,5,0,1
sales,low,268,7,11.0,96.0,5,0,1
sales,low,296,2,37.0,49.0,3,0,1
sales,low,269,6,10.0,79.0,4,0,1
sales,low,264,4,77.0,87.0,6,0,1
sales,low,300,2,42.0,54.0,3,1,1
sales,low,262,2,38.0,52.0,3,0,1
sales,low,274,5,32.0,95.0,2,0,1
accounting,low,288,2,38.0,49.0,3,0,1
accounting,low,273,4,19.0,100.0,4,0,1
accounting,low,277,7,10.0,83.0,4,0,1
hr,medium,268,4,76.0,88.0,4,0,1
hr,medium,265,4,53.0,56.0,6,0,1
hr,medium,272,2,39.0,51.0,3,0,1
hr,medium,264,6,11.0,83.0,4,0,1
technical,medium,293,6,10.0,94.0,4,0,1
technical,medium,276,5,84.0,100.0,5,0,1
technical,medium,264,4,82.0,99.0,6,0,1
technical,medium,282,6,10.0,82.0,4,0,1
technical,medium,283,7,59.0,49.0,4,0,1
technical,medium,266,2,44.0,48.0,3,0,1
technical,medium,272,2,89.0,95.0,5,0,1
technical,medium,288,5,91.0,84.0,5,0,1
technical,high,262,5,66.0,57.0,5,0,1
technical,low,279,7,11.0,87.0,5,0,1
technical,medium,275,2,43.0,51.0,3,0,1
support,medium,285,4,78.0,83.0,6,0,1
support,medium,284,6,11.0,97.0,5,0,1
support,medium,267,4,83.0,98.0,5,0,1
support,low,279,2,39.0,54.0,3,0,1
support,low,280,2,38.0,55.0,3,0,1
support,low,269,2,37.0,57.0,3,0,1
support,low,274,2,44.0,48.0,3,0,1
support,low,279,2,53.0,85.0,5,0,1
support,low,290,6,9.0,96.0,4,0,1
support,low,285,6,11.0,89.0,4,0,1
support,low,254,5,83.0,96.0,5,0,1
technical,low,277,5,88.0,100.0,6,1,1
technical,low,283,6,10.0,89.0,4,0,1
technical,low,263,7,9.0,86.0,4,0,1
management,low,292,2,44.0,54.0,3,0,1
IT,low,282,2,39.0,51.0,3,0,1
IT,low,247,4,87.0,94.0,5,0,1
IT,low,279,4,74.0,99.0,5,0,1
IT,low,265,7,10.0,95.0,4,0,1
IT,low,256,4,74.0,82.0,6,0,1
product_mng,low,267,5,75.0,99.0,5,0,1
product_mng,low,248,2,41.0,56.0,3,0,1
product_mng,low,277,2,41.0,45.0,3,1,1
product_mng,low,272,7,9.0,90.0,4,0,1
IT,medium,271,6,9.0,80.0,5,0,1
accounting,medium,296,2,39.0,57.0,3,0,1
accounting,medium,269,2,40.0,56.0,3,0,1
hr,medium,273,2,37.0,54.0,3,1,1
hr,medium,271,6,10.0,84.0,4,0,1
hr,medium,270,2,43.0,51.0,3,0,1
marketing,medium,254,5,75.0,85.0,6,1,1
sales,medium,266,2,37.0,56.0,3,0,1
accounting,medium,266,6,11.0,85.0,4,0,1
support,medium,278,2,45.0,45.0,3,1,1
technical,medium,276,5,87.0,100.0,5,1,1
management,medium,272,7,11.0,94.0,4,0,1
marketing,high,285,2,45.0,54.0,3,0,1
marketing,low,266,4,81.0,87.0,5,0,1
marketing,medium,282,5,77.0,91.0,5,0,1
sales,medium,260,5,89.0,92.0,5,0,1
sales,medium,281,2,43.0,49.0,3,0,1
sales,medium,267,5,78.0,100.0,5,0,1
sales,low,288,2,37.0,47.0,3,0,1
sales,low,272,2,37.0,50.0,3,0,1
sales,low,242,4,85.0,82.0,5,0,1
sales,low,275,2,41.0,47.0,3,0,1
sales,low,274,6,11.0,96.0,4,0,1
sales,low,280,5,75.0,99.0,5,0,1
sales,low,274,5,82.0,85.0,5,0,1
sales,low,267,5,79.0,100.0,6,0,1
sales,low,267,2,43.0,53.0,3,0,1
sales,low,273,7,10.0,90.0,4,0,1
sales,low,283,2,46.0,48.0,3,1,1
sales,low,295,2,43.0,57.0,3,0,1
sales,low,276,2,43.0,55.0,3,0,1
sales,low,271,7,11.0,80.0,4,0,1
sales,low,278,6,9.0,86.0,4,0,1
sales,low,271,2,37.0,53.0,3,0,1
accounting,low,276,2,40.0,57.0,3,0,1
accounting,low,268,7,10.0,77.0,4,0,1
accounting,low,281,2,41.0,53.0,3,0,1
hr,low,262,3,79.0,58.0,4,0,1
hr,low,272,7,11.0,79.0,4,0,1
hr,medium,269,6,10.0,97.0,4,0,1
hr,medium,281,2,44.0,51.0,3,0,1
technical,medium,271,4,25.0,46.0,4,0,1
technical,medium,273,2,44.0,52.0,3,0,1
technical,medium,270,4,73.0,100.0,5,0,1
technical,medium,269,5,75.0,97.0,6,0,1
technical,medium,296,2,36.0,47.0,3,0,1
technical,medium,288,2,37.0,49.0,3,0,1
technical,medium,283,2,39.0,49.0,3,0,1
technical,medium,258,2,48.0,78.0,2,0,1
technical,medium,275,4,57.0,72.0,6,0,1
technical,medium,295,5,90.0,96.0,5,0,1
technical,high,292,2,39.0,55.0,3,0,1
support,low,269,2,44.0,51.0,3,0,1
support,medium,277,5,81.0,88.0,5,0,1
support,medium,287,5,74.0,87.0,5,0,1
support,medium,289,2,44.0,56.0,3,0,1
support,medium,276,2,41.0,56.0,3,0,1
support,low,281,2,40.0,51.0,3,0,1
support,low,275,2,46.0,57.0,3,0,1
support,low,274,2,80.0,83.0,3,0,1
support,low,292,5,87.0,90.0,5,0,1
support,low,282,2,39.0,54.0,3,0,1
support,low,287,2,38.0,55.0,3,0,1
technical,low,278,2,66.0,67.0,3,0,1
technical,low,290,6,10.0,80.0,4,0,1
technical,low,280,2,37.0,54.0,3,0,1
